"id","model","brand","category","type","price_cny","quantity","total_amount_cny","detailed_description"
"78","Links-C3U-SIO02-16","灵思创奇","串口板卡","通信协议","450","1","450","3U CPCI，16路隔离串行通讯接口，支持RS-232/422/485，RS232最高支持230.4Kbps波特率，RS422/485波特率800~8Mbps，接收FIFO共32M RAM，发送FIFO每通道2K字节"
"79","Links-C3U-SIO03-4","灵思创奇","串口板卡","通信协议","11400","1","11400","CPCI总线，4通道RS232/422/485通讯接口，RS232波特率2400-115.2Kbps，RS422/485波特率2400-2Mbps，透明接收和协议接收(13种协议)，32M FIFO，通道间完全电气隔离，支持虚拟串口"
"80","Links-C3U-SIO03-8A","灵思创奇","串口板卡","通信协议","11800","1","11800","CPCI总线，8通道RS232/422/485通讯接口，RS232波特率2400-115.2Kbps，RS422/485波特率2400-2Mbps，透明接收和协议接收(13种协议)，32M FIFO，支持虚拟串口"
"81","Links-C3U-SIO03-8B","灵思创奇","串口板卡","通信协议","150","1","150","CPCI总线，8通道异步RS232/422/485通讯接口，RS232波特率2400bps-0Kbps，RS422/485波特率2400bps-4Mbps；透明接收和协议接收(13种协议)，通道间完全电气隔离，支持虚拟串口。"
"82","Links-C3U-SIO03-8C","灵思创奇","串口板卡","通信协议","150","1","150"," CPCI总线，
1) 8个异步串行（UART）通信通道；
2)  每个通道可设置为232/422/485模式；
3)  RS422/485芯片采用MAX3485，芯片具备±20KV ESD保护，RS232芯片采用MAX3232，芯片具备±15KV ESD保护；
4） 波特率可设置，RS422/485模式下最高支持4Mbps，RS232模式下最高支持115200bps。数据位长度可设置（支持5~8位数据位）。支持无校验、奇校验、偶校验设置，支持1位/2位停止位；
5） 支持中断和查询两种方式读取数据；
6） 接口信号地与机箱内部地电磁隔离；
7)  发送缓存区1024Byte/通道，接收缓存2048Byte/通道；
8） 支持清空特定通道的接收缓存；
9) 接收数据字包含24位时间标签，时间标签单位1ms；
10）接收通道支持数据量中断和超时中断。"
"83","Links-C3U-SIO03-16","灵思创奇","串口板卡","通信协议","350","1","350","CPCI总线，16通道RS232/422/485通讯接口，RS232波特率2400-115.2Kbps，RS422/485波特率2400-2Mbps，32M FIFO，整板隔离，支持虚拟串口"
"84","Links-RS422-10M","灵思创奇","高速RS422板卡","通信协议","240","1","240","12通道串口板卡
 PXIe总线板卡
 提供12通道差分和单端输出@AM26C31
 提供12通道差分和单端输入@AM26C32
 差分通道支持10M bps通过能力
 差分与单端信号可独立控制
 对外接口（输入、输出）与PXIe背板非隔离
 输入接口具有100欧姆端接
 输出接口：SCSI100 Female
 提供离散IO测试工程（不含应用工程）"
"85","Links-C3U-SENT","灵思创奇","SENT接口板卡","通信协议","180","1","180","支持车载SENT总线协议，2通道；"
"86","Links-C3U-PSI5","灵思创奇","PSI5接口板卡","通信协议","250","1","250","支持车载PSI5总线协议，2通道；"
"87","Links-C3U-SPI","灵思创奇","SPI总线板卡","通信协议","280","1","280","1) 3U欧规卡规格，兼容CompactPCI PICMG 2.0 R2.1 规范
2) 4通道SPI总线通道，特性如下：
3) 支持CPOL极性和CPHA色值，可组合成四种工作模式
4) 数据宽度：16Bit
5) 电平规格：RS422
6) 时钟频率：最高50MHz"
"88","Links-C3U-I2C","灵思创奇","I2C通讯板卡","通信协议","280","1","280","1) 3U cPCI总线板卡
2) 4通道I2C总线接口
支持三中速度模式：
标准工作模式 (100kbps)
快速工作模式 (400kbps) 
快速+工作模式(1.0Mbps) 
3) I2C接口类型：从设备接口
4) 地址空间2k@8Bit
5) 支持字节宽度配置：8～32位
6) 电平规格：5V CMOS/TTL
7) 输出接口：TE-5787082-7"
"89","Links-C3U-PCM","灵思创奇","PCM通讯板卡","通信协议","250","1","250","3U cPCI板卡
4通道PCM通讯
支持三线制通讯——使能、时钟和数据
差分模式，采用5V RS422电平规格
收发通道独立FIFO，深度4096字节
提供FIFO满、半满中断"
"90","Links-C3U-LVDS","灵思创奇","LVDS通讯板卡","通信协议","280","1","280","3U cPCI板卡
4通道LVDS通讯
支持三线制通讯——使能、时钟和数据
差分模式，采用5V RS422电平规格
收发通道独立FIFO，深度4096字节
提供FIFO满、半满中断"
"91","Links-C3U-BISSC","灵思创奇","BISS-C总线板卡","通信协议","380","1","380","1) 3U欧规卡规格，兼容CompactPCI PICMG 2.0 R2.1 规范
2) 5通道BISS-C总线
3) 数据位宽：8～32位
4) 波特率：2MHz、1MHz、0KHz和250KHz
5) SSI测量间隔：0-255uS"
"92","Links-C3U-1553-1SA-ZK","灵思创奇","1553B接口板卡","通信协议","350","1","350","3U CPCI总线，单通道（双冗余）单功能MIL-STD-1553，BC/RT/BM三种工作模式软件可选择其中一种工作模式"
"93","Links-C3U-1553-1MA-ZK","灵思创奇","1553B接口板卡","通信协议","450","1","450","3U CPCI总线，单通道（双冗余）多功能MIL-STD-1553， BC&31RT&BM三种工作模式可同时工作"
"94","Links-C3U-1553-2SA-ZK","灵思创奇","1553B接口板卡","通信协议","550","1","550","3U CPCI总线，双通道（双冗余）单功能MIL-STD-1553，BC/RT/BM三种工作模式软件可选择其中一种工作模式"
"95","Links-C3U-1553-2MA-ZK","灵思创奇","1553B接口板卡","通信协议","680","1","680","3U CPCI总线，双通道（双冗余）多功能MIL-STD-1553， BC&31RT&BM三种工作模式可同时工作"
"96","TNG1-1-78","灵思创奇","1553B终端器板卡","通信协议","0","1","0","终端电阻，78欧姆"
"97","ESI-210","灵思创奇","1553B耦合器板卡","通信协议","40","1","40","双口1553B耦合器"
"98","ESI-410","灵思创奇","1553B耦合器板卡","通信协议","60","1","60","4口1553B耦合器"
"99","ESI-810","灵思创奇","1553B耦合器板卡","通信协议","80","1","80","8口1553B耦合器"
"100","定制","灵思创奇","1553B测试电缆板卡","通信协议","10","1","10","2米1553B电缆"
"101","Links-C3U-429-0404","灵思创奇","A429接口板卡","通信协议","250","1","250","3U CPCI总线，ARINC429接口卡，12.5kbps、48kbps或100kbps速率，4发4收，发送FIFO容量1024字节，接收FIFO容量不加时间标签1024字节，加时间标签512字节"
"102","Links-C3U-429-0808-A","灵思创奇","A429接口板卡","通信协议","350","1","350","3U CPCI总线，ARINC429接口卡，12.5kbps、48kbps或100kbps速率，8发8收，发送FIFO容量1024字节，接收FIFO容量不加时间标签1024字节，加时间标签512字节"
"103","Links-C3U-429-1616","灵思创奇","A429接口板卡","通信协议","450","1","450","3U CPCI总线，ARINC429接口卡，12.5kbps、48kbps或100kbps速率，16发16收，发送FIFO容量1024字节，接收FIFO容量不加时间标签1024字节，加时间标签512字节"
"104","Links-C3U-429-0808-B","灵思创奇","A429接口板卡","通信协议","240","1","240","CPCI总线，ARINC-429通讯接口，8收8发，波特率可设置为10K/12.5K/48K/50K/100K/150K，支持动态更改"
"105","Links-C3U-429-1616-B","灵思创奇","A429接口板卡","通信协议","480","1","480","CPCI总线，3U，ARINC-429通讯接口，16收16发，波特率可设置为10K/12.5K/48K/50K/100K/150K，支持动态更改"
"106","Links-C3U-AFDX-02","灵思创奇","AFDX接口板卡","通信协议","980","1","980","3U CPCI，支持ARINC664规范；2路双冗余通道（2路发送，2路接收，4个10/100M端口），发送存储深度：8MByte/通道（可选16M），接收存储深度：8MByte/通道（可选16M），硬件实现AFDX协议栈；32bit,33MHz； 支持时间来源于IRIG（可选）"
"107","Links-C3U-AFDX-01","灵思创奇","AFDX接口板卡","通信协议","750","1","750","3U CPCI，支持ARINC664规范；单通道单冗余通道，发送存储深度：8MByte/通道（可选16M），接收存储深度：8MByte/通道（可选16M），硬件实现AFDX协议栈；32bit,33MHz； 支持时间来源于IRIG（可选）"
"108","Links-C3U-GigE02","灵思创奇","以太网卡接口板卡","通信协议","5800","1","5800","4个10/100/10 Base-T接口，RJ-45连接器，IEEE802.3x Support"
"109","Links-C3U-PPS-4","灵思创奇","秒脉冲板卡","时间与同步","250","1","250","a) 4通道秒脉冲输出
b) 4通道秒脉冲输入
c) 板载温补晶振频率：40MHz
d) 晶振稳定性：±100ppb
e) 输入输出信号电平：5V CMOS（兼容TTL）和5V RS422电平
f) 输出通道可独立设置为秒脉冲通道或倍频通道
g) 秒脉冲模式支持高低电平宽度配置
h) 倍频通道支持脉冲个数设置
i) 秒脉冲间同步精度：≤75ns"
"110","Links-C3U-PPS-8","灵思创奇","秒脉冲板卡","时间与同步","280","1","280","3U cPCI板卡
8通道秒脉冲输入
8通道秒脉冲输出
板载温补晶振频率：40MHz
晶振稳定性：±100ppb
支持单端模式和差分模式
输出通道可参考内部板载时钟，也可参照外部输入通道时钟
输出通道支持倍频（相对于输入通道或周期配置参数）
单端模式：5V CMOS电平，兼容5V TTL
差分模式：5V RS422电平规格"
"112","Links-C3U-RTD02","灵思创奇","RTD电阻输出板卡","可编程电阻","350","1","350","PXI接口，10通道，16位分辨率，0Ω to 65kΩ，提供实时系统驱动"
"113","Links-C3U-RTD03","灵思创奇","RTD电阻输出板卡","可编程电阻","350","1","350","PXI接口，18通道，8位分辨率，0Ω to 255Ω，提供实时系统驱动"
"114","Links-C3U-RTD01S","灵思创奇","RTD小电阻模拟板卡","可编程电阻","200","1","200","3U CPCI，4通道，分辨率为0.1欧姆，0.2~1.6欧姆，提供实时系统驱动"
"115","Links-C3U-RTD04","灵思创奇","RTD模拟板卡","可编程电阻","250","1","250","3U欧规卡规格，兼容CompactPCI PICMG 2.0 R2.1 规范
8通道RTD；
12位分辨率，步进1欧姆；
范围：1欧姆～4095欧姆。
提供实时系统、Windows驱动"
"116","Links-C3U-RTD05","灵思创奇","可编程电阻模拟板卡","可编程电阻","390","1","390","通道数：8
电阻范围：3欧～100欧
分辨率：0.125欧
精度：±0.1%±0.125欧
 连接器：DB-37公座"
"117","Links-C3U-RTD06","灵思创奇","RTD模拟板卡","可编程电阻","210","1","210","4通道模拟量采集
电阻范围：0-159999.9欧姆
电阻步进：100m欧姆
每通道功率：400mW（功率不得超过400mW）
输入最大电压范围：0-40V
阻值精度：±（0.1%设定值+100mΩ）
"
"118","Links-C3U-RTD07","灵思创奇","RTD模拟板卡","可编程电阻","350","1","350","8通道模拟量采集
电阻范围：0-511.75欧姆
电阻步进：250m欧姆
每通道功率：400mW
输入最大电压范围：0-40V（功率不得超过400mW）
阻值精度：±（0.1%设定值+250mΩ）
"
"119","Links-C3U-RTD08","灵思创奇","RTD模拟板卡","可编程电阻","350","1","350","8通道模拟量采集
电阻范围：0-4095欧姆
电阻步进：100m欧姆
每通道功率：400mW（功率不得超过400mW）
输入最大电压范围：0-40V
阻值精度：±（0.1%设定值+100mΩ）
"
"120","Links-C3U-RTD09","灵思创奇","PXI热电阻采集板卡","可编程电阻","480","1","450","PT100采集8通道、PT10采集8通道
采样速率：100S/s；
分辨率：24位。"
"121","Links-C3U-RFM-01","灵思创奇","反射内存板卡","共享/反射内存","240","1","240","3U CPCI，高速光纤接口，256 M内存, 4 K FIFO,  2.12G波特率，支持300m（多模）传输距离，支持网络中断"
"122","Links-C3U-RFM-02","灵思创奇","反射内存板卡","共享/反射内存","240","1","240","3U CPCI，高速光纤接口，256MB SDRAM ，多模反射内存板卡。 "
"123","Links-C3U-AI-05","灵思创奇","高精度模拟量采集板卡","温度-应变-振动","400","1","400","通道数：8
耦合方式：直流
输入模式：差分
最高采样率：10kSa/s
分辨率：24bits
输入量程：±0.05V、±0.1V、±1V、±10V
直流精度：1V及以上：±0.01%+0.5mV
                    1V以下：  ±0.01%+2uV"
